Log_Type,Mushroom_Diameter
Red Oak,2.78
Red Oak,3.08
Red Oak,3.73
Red Oak,3.23
Red Oak,3.53
Sugar Maple,2.37
Sugar Maple,2.78
Sugar Maple,2.82
Sugar Maple,2.2
Sugar Maple,3.07
