Nitrogen,Phosphorus,Sp.Gr.
96,40,2
82,36,14
121,30,15
60,42,15
100,28,16
114,26,27
71,33,48
94,26,54
94,15,22
36,35,68
36,25,82
73,15,83
58,26,92
31,25,97
38,24,98
56,11,101
24,22,128
37,11,140
10,24,163
14,10,179
